序号	频率准确度	测试时间			
443	-7.75E-12	2013-12-14 9:49	0	19999998925	31
444	-9.13E-12	2013-12-14 9:49	0	19999999475	7c
445	-1.08E-11	2013-12-14 9:50	0	19999998650	4b
446	-7.88E-12	2013-12-14 9:50	0	19999998825	30
447	-4.00E-12	2013-12-14 9:50	0	19999999400	9
448	-7.38E-12	2013-12-14 9:50	0	19999999100	0c
449	-7.13E-12	2013-12-14 9:50	0	19999999275	7a
450	-9.50E-12	2013-12-14 9:50	0	19999998925	31
451	-2.75E-12	2013-12-14 9:51	0	19999999425	2c
452	-9.00E-12	2013-12-14 9:51	0	19999999225	2a
453	-7.50E-12	2013-12-14 9:51	0	19999998375	6b
454	-6.75E-12	2013-12-14 9:51	0	19999999300	0e
455	-8.25E-12	2013-12-14 9:51	0	19999998650	4b
456	-7.75E-12	2013-12-14 9:51	0	19999999200	0f
457	-9.38E-12	2013-12-14 9:52	0	19999998325	3b
458	-7.38E-12	2013-12-14 9:52	0	19999999425	2c
459	-4.38E-12	2013-12-14 9:52	0	19999998975	61
460	-1.35E-11	2013-12-14 9:52	0	19999999625	2e
461	-8.25E-12	2013-12-14 9:52	0	19999998600	1b
462	-4.00E-12	2013-12-14 9:52	0	19999998700	1a
